<OOV>
the
and
a
i
that
to
it
my
in
he
with
was
on
of
all
is
his
did
like
as
from
they
me
'
ship
nor
were
but
sea
at
we
had
one
came
this
now
their
she
or
so
still
for
heard
not
man
down
by
moon
sun
her
no
are
wedding
up
upon
there
mist
made
more
each
eye
guest
stood
hath
day
loud
yet
who
through
men
could
water
moved
which
dead
voice
mariner
him
bright
into
every
us
night
white
sails
be
sky
where
how
see
fear
never
part
thou
went
been
soul
wind
thee
breeze
land
what
when
those
looked
eyes
lay
them
boat
hermit
ancient
wide
hand
quoth
till
mast
ice
high
albatross
round
bird
then
'twas
ocean
heart
alone
away
saw
sound
an
thy
long
off
kirk
right
shadow
head
fast
snow
cross
if
blew
sweet
noon
o
passed
weary
little
black
blood
turned
body
oh
light
fell
go
together
hear
dropt
spake
'the
below
left
out
beat
red
rose
blast
cold
green
fog
flew
good
behind
bow
shot
done
said
free
first
above
than
things
about
death
spirit
well
seemed
took
lips
strange
face
life
far
within
pray
curse
sleep
its
air
bay
pilot's
loveth
beard
glittering
skinny
will
thus
harbour
hill
bride
before
south
blow
fled
both
around
food
fit
mariner's
cloud
nine
—
work
own
ever
speak
after
motion
deep
slimy
dreams
old
time
shape
neared
joy
once
without
wave
two
stars
dew
star
groan
sigh
ghastly
living
lifeless
fly
'i
brown
agony
many
deck
heaven
close
limbs
seven
blessed
same
sank
gentle
died
soon
fro
beneath
have
raised
again
slowly
makes
let
tell
lord
great
doth
walk
countree
god
holy
seraph
pilot
shrieve
tale
three
grey
bridegroom's
am
guests
feast
merry
holds
cannot
choose
eyed
drop
top
shone
higher
here
breast
along
prow
bends
drove
roared
send
sheen
shapes
between
swound
length
god's
split
helmsman
steered
follow
play
hollo
save
why
any
thing
would
woe
averred
killed
ah
slay
dim
birds
fair
followed
burst
silent
sad
silence
stand
breath
painted
rot
christ
danced
burnt
blue
some
fathom
tongue
utter
drought
looks
young
neck
throat
glazed
speck
wist
throats
unslaked
baked
cried
sail
drew
keel
western
broad
straight
dungeon
grate
thought
nears
crew
man's
i've
won
whisper
o'er
thick
bar
too
quick
pang
heavy
dropped
souls
bodies
art
saint
pity
thousand
rotting
prayer
days
softly
hoar
alway
watched
fire
declare
unaware
sure
moment
lead
pole
slid
come
thin
sere
coming
lightning
reached
stirred
dream
'gan
do
knee
calm
sounds
sometimes
lonely
noise
brook
singeth
tune
sailed
smoothly
under
fixed
short
uneasy
'is
full
himself
loved
soft
penance
'but
second
know
brother
slow
forth
dread
knows
swiftly
sweetly
mine
moonlight
rock
shadows
crimson
corse
flat
band
waved
oars
cheer
boy
dear
wood
he'll
talk
morn
stunned
while
door
sweeter
farewell
prayeth
best
whose
stoppeth
'by
wherefore
stopp'st
doors
opened
next
kin
met
set
may'st
din
'there
'hold
unhand
loon
eftsoons
eye—
listens
years'
child
sat
stone
cheered
cleared
merrily
lighthouse
over
noon—'
bassoon
paced
hall
nodding
heads
goes
minstrelsy
storm
tyrannous
strong
struck
o'ertaking
wings
chased
sloping
masts
dipping
pursued
yell
treads
foe
forward
southward
aye
grew
wondrous
floating
emerald
drifts
snowy
clifts
dismal
beasts
ken—
cracked
growled
